sp|Q6P2Q9|PRP8_HUMAN	sp|P33334|PRP8_YEAST	62.473	2321	3059	0.0
sp|Q99797|MIPEP_HUMAN	sp|P25375|PRTD_YEAST	23.890	653	179	7.82e-49
sp|P17612|KAPCA_HUMAN	sp|P06245|KAPB_YEAST	52.229	314	358	5.87e-124
sp|P17612|KAPCA_HUMAN	sp|P06244|KAPA_YEAST	48.328	329	353	6.10e-122
sp|P17612|KAPCA_HUMAN	sp|P05986|KAPC_YEAST	51.495	301	345	1.37e-118
sp|P17612|KAPCA_HUMAN	sp|P12688|YPK1_YEAST	44.518	301	279	9.12e-90
sp|P17612|KAPCA_HUMAN	sp|P18961|YPK2_YEAST	44.333	300	273	2.90e-87
sp|P17612|KAPCA_HUMAN	sp|P11792|SCH9_YEAST	45.513	312	273	2.57e-86
sp|P17612|KAPCA_HUMAN	sp|P25341|KIN82_YEAST	38.585	311	224	1.50e-68
sp|P17612|KAPCA_HUMAN	sp|P53739|FPK1_YEAST	40.397	302	223	2.96e-67
sp|P17612|KAPCA_HUMAN	sp|P24583|KPC1_YEAST	35.932	295	209	1.19e-61
sp|P17612|KAPCA_HUMAN	sp|P38070|YPK3_YEAST	35.789	285	195	3.75e-59
sp|P17612|KAPCA_HUMAN	sp|P38991|AURK_YEAST	36.704	267	169	1.20e-50
sp|P17612|KAPCA_HUMAN	sp|Q12236|PKH2_YEAST	31.579	304	172	6.61e-49
sp|P17612|KAPCA_HUMAN	sp|P22204|DBF2_YEAST	30.409	342	164	4.89e-47
sp|P17612|KAPCA_HUMAN	sp|Q03407|PKH1_YEAST	32.331	266	163	4.96e-46
sp|P17612|KAPCA_HUMAN	sp|P32328|DBF20_YEAST	30.029	343	160	6.96e-46
sp|P17612|KAPCA_HUMAN	sp|P32562|CDC5_YEAST	31.699	306	157	4.66e-44
sp|P17612|KAPCA_HUMAN	sp|Q03306|PKH3_YEAST	31.449	283	154	1.16e-42
sp|P17612|KAPCA_HUMAN	sp|P06782|SNF1_YEAST	32.117	274	149	1.92e-41
sp|P17612|KAPCA_HUMAN	sp|P34244|HSL1_YEAST	33.094	278	149	6.15e-41
sp|P17612|KAPCA_HUMAN	sp|P53894|CBK1_YEAST	41.892	148	135	4.02e-36
sp|P17612|KAPCA_HUMAN	sp|P53894|CBK1_YEAST	40.278	144	111	3.70e-28
sp|P17612|KAPCA_HUMAN	sp|Q12263|GIN4_YEAST	33.463	257	133	2.44e-35
sp|P17612|KAPCA_HUMAN	sp|P25389|KCC4_YEAST	31.970	269	125	1.30e-32
sp|P17612|KAPCA_HUMAN	sp|Q12469|SKM1_YEAST	29.304	273	124	1.42e-32
sp|P17612|KAPCA_HUMAN	sp|Q03497|STE20_YEAST	28.571	245	112	2.66e-28
sp|P17612|KAPCA_HUMAN	sp|P48562|CLA4_YEAST	26.129	310	110	9.52e-28
sp|P17612|KAPCA_HUMAN	sp|P38692|KIC1_YEAST	28.862	246	110	1.16e-27
sp|P17612|KAPCA_HUMAN	sp|P08018|PBS2_YEAST	34.127	252	107	7.66e-27
sp|P17612|KAPCA_HUMAN	sp|P08458|SPS1_YEAST	26.937	271	105	1.96e-26
sp|P17612|KAPCA_HUMAN	sp|P41808|SMK1_YEAST	28.879	232	89.0	6.99e-21
sp|P17612|KAPCA_HUMAN	sp|Q03957|CTK1_YEAST	29.534	193	86.7	7.91e-20
sp|P17612|KAPCA_HUMAN	sp|Q00772|SLT2_YEAST	28.241	216	84.3	3.80e-19
sp|P17612|KAPCA_HUMAN	sp|P14681|KSS1_YEAST	28.378	222	80.5	4.25e-18
sp|P17612|KAPCA_HUMAN	sp|P32485|HOG1_YEAST	29.187	209	80.9	4.61e-18
sp|P17612|KAPCA_HUMAN	sp|P15442|GCN2_YEAST	29.557	203	81.6	5.82e-18
sp|P17612|KAPCA_HUMAN	sp|P38615|RIM11_YEAST	28.436	211	79.7	8.66e-18
sp|P17612|KAPCA_HUMAN	sp|P16892|FUS3_YEAST	28.182	220	77.4	3.95e-17
sp|P17612|KAPCA_HUMAN	sp|P21965|MCK1_YEAST	27.962	211	76.3	1.41e-16
sp|P17612|KAPCA_HUMAN	sp|P17157|PHO85_YEAST	26.415	212	74.7	2.73e-16
sp|P17612|KAPCA_HUMAN	sp|P50873|MRK1_YEAST	27.679	224	75.1	5.24e-16
sp|P17612|KAPCA_HUMAN	sp|P00546|CDK1_YEAST	27.706	231	73.6	6.03e-16
sp|P17612|KAPCA_HUMAN	sp|P06242|KIN28_YEAST	27.136	199	71.6	3.09e-15
sp|P17612|KAPCA_HUMAN	sp|P14680|YAK1_YEAST	27.586	203	70.1	2.50e-14
sp|P17612|KAPCA_HUMAN	sp|P32350|KNS1_YEAST	26.724	232	66.2	4.19e-13
sp|P17612|KAPCA_HUMAN	sp|P36005|KDX1_YEAST	24.885	217	62.8	4.18e-12
sp|P17612|KAPCA_HUMAN	sp|P39073|SSN3_YEAST	27.742	155	57.8	2.02e-10
sp|P17612|KAPCA_HUMAN	sp|P19454|CSK22_YEAST	21.032	252	56.6	3.91e-10
sp|P17612|KAPCA_HUMAN	sp|P15790|CSK21_YEAST	22.059	204	55.8	7.55e-10
sp|P17612|KAPCA_HUMAN	sp|P23291|KC11_YEAST	32.787	122	55.1	1.77e-09
sp|P17612|KAPCA_HUMAN	sp|P23292|KC12_YEAST	31.061	132	53.5	5.09e-09
sp|P17612|KAPCA_HUMAN	sp|P22219|VPS15_YEAST	24.464	233	52.8	1.05e-08
sp|P17612|KAPCA_HUMAN	sp|P29295|HRR25_YEAST	25.110	227	48.5	2.18e-07
sp|P17612|KAPCA_HUMAN	sp|Q03656|SKY1_YEAST	25.161	155	47.8	3.94e-07
sp|P05388|RLA0_HUMAN	sp|P05317|RLA0_YEAST	54.870	308	299	1.70e-102
sp|P50213|IDH3A_HUMAN	sp|P28241|IDH2_YEAST	55.490	337	357	1.12e-123
sp|P50213|IDH3A_HUMAN	sp|P28834|IDH1_YEAST	45.748	341	295	1.55e-99
sp|P50213|IDH3A_HUMAN	sp|P53982|IDHH_YEAST	24.865	185	44.7	3.58e-06
sp|O43933|PEX1_HUMAN	sp|P24004|PEX1_YEAST	37.766	564	357	1.95e-106
sp|O43933|PEX1_HUMAN	sp|P25694|CDC48_YEAST	35.510	490	269	4.05e-77
sp|O43933|PEX1_HUMAN	sp|P25694|CDC48_YEAST	42.667	225	196	1.33e-52
sp|O43933|PEX1_HUMAN	sp|P32794|AFG2_YEAST	34.183	471	263	2.90e-75
sp|O43933|PEX1_HUMAN	sp|Q07844|RIX7_YEAST	30.924	595	239	5.69e-67
sp|O43933|PEX1_HUMAN	sp|Q07844|RIX7_YEAST	35.926	270	171	1.00e-44
sp|O43933|PEX1_HUMAN	sp|P33760|PEX6_YEAST	33.271	535	233	6.36e-64
sp|O43933|PEX1_HUMAN	sp|Q01939|PRS8_YEAST	41.667	228	187	5.13e-53
sp|O43933|PEX1_HUMAN	sp|P53549|PRS10_YEAST	39.912	228	180	4.82e-50
sp|O43933|PEX1_HUMAN	sp|P33297|PRS6A_YEAST	41.593	226	171	7.32e-47
sp|O43933|PEX1_HUMAN	sp|P33298|PRS6B_YEAST	36.800	250	162	3.73e-44
sp|O43933|PEX1_HUMAN	sp|P40327|PRS4_YEAST	36.444	225	161	1.14e-43
sp|O43933|PEX1_HUMAN	sp|P33299|PRS7_YEAST	37.931	232	161	1.86e-43
sp|O43933|PEX1_HUMAN	sp|P40340|ATAD2_YEAST	38.596	228	166	1.15e-42
sp|O43933|PEX1_HUMAN	sp|P18759|SEC18_YEAST	34.441	331	162	4.41e-42
sp|O43933|PEX1_HUMAN	sp|P52917|VPS4_YEAST	32.222	270	154	3.91e-41
sp|O43933|PEX1_HUMAN	sp|P32795|YME1_YEAST	36.170	235	150	2.08e-38
sp|O43933|PEX1_HUMAN	sp|P28737|MSP1_YEAST	37.333	225	137	2.73e-36
sp|O43933|PEX1_HUMAN	sp|P39925|AFG3_YEAST	36.864	236	142	7.30e-36
sp|O43933|PEX1_HUMAN	sp|P40341|YTA12_YEAST	33.871	248	137	3.80e-34
sp|O43933|PEX1_HUMAN	sp|P40328|TBP6_YEAST	34.711	242	134	2.95e-33
sp|O43933|PEX1_HUMAN	sp|P40328|TBP6_YEAST	24.545	220	46.2	8.36e-06
sp|O43933|PEX1_HUMAN	sp|P39955|SAP1_YEAST	33.068	251	128	4.20e-31
sp|O43933|PEX1_HUMAN	sp|P32839|BCS1_YEAST	25.862	174	55.5	8.56e-09
sp|Q9NRH3|TBG2_HUMAN	sp|P53378|TBG_YEAST	40.529	454	347	5.21e-117
sp|Q9NRH3|TBG2_HUMAN	sp|P02557|TBB_YEAST	35.862	435	280	4.76e-91
sp|Q9NRH3|TBG2_HUMAN	sp|P09733|TBA1_YEAST	32.237	456	218	4.44e-67
sp|Q9NRH3|TBG2_HUMAN	sp|P09734|TBA3_YEAST	30.989	455	211	7.19e-65
sp|Q92643|GPI8_HUMAN	sp|P49018|GPI8_YEAST	60.148	271	356	3.46e-122
sp|P13716|HEM2_HUMAN	sp|P05373|HEM2_YEAST	53.191	329	356	3.62e-124
sp|Q13315|ATM_HUMAN	sp|P38110|ATM_YEAST	32.240	732	356	2.40e-99
sp|Q13315|ATM_HUMAN	sp|P38111|ATR_YEAST	24.675	770	225	8.34e-60
sp|Q13315|ATM_HUMAN	sp|P32600|TOR2_YEAST	32.840	405	207	3.97e-54
sp|Q13315|ATM_HUMAN	sp|P35169|TOR1_YEAST	31.186	388	199	1.18e-51
sp|Q13315|ATM_HUMAN	sp|P37297|STT4_YEAST	28.834	163	57.0	1.36e-08
sp|Q13315|ATM_HUMAN	sp|P22543|VPS34_YEAST	23.643	258	52.8	1.91e-07
sp|Q9Y4E8|UBP15_HUMAN	sp|P39538|UBP12_YEAST	36.968	376	228	1.25e-62
sp|Q9Y4E8|UBP15_HUMAN	sp|P39538|UBP12_YEAST	49.057	159	160	4.81e-41
sp|Q9Y4E8|UBP15_HUMAN	sp|P50101|UBP15_YEAST	29.605	152	55.5	1.03e-08
sp|Q9Y4E8|UBP15_HUMAN	sp|P43593|UBP6_YEAST	39.706	68	48.1	1.11e-06
sp|P53597|SUCA_HUMAN	sp|P53598|SUCA_YEAST	59.477	306	355	8.08e-124
sp|P28482|MK01_HUMAN	sp|P16892|FUS3_YEAST	50.712	351	355	4.43e-123
sp|P28482|MK01_HUMAN	sp|P14681|KSS1_YEAST	50.546	366	352	1.45e-121
sp|P28482|MK01_HUMAN	sp|P32485|HOG1_YEAST	47.522	343	338	3.77e-115
sp|P28482|MK01_HUMAN	sp|Q00772|SLT2_YEAST	49.573	351	323	5.12e-109
sp|P28482|MK01_HUMAN	sp|P36005|KDX1_YEAST	43.220	354	273	1.02e-89
sp|P28482|MK01_HUMAN	sp|P41808|SMK1_YEAST	40.395	354	253	1.40e-82
sp|P28482|MK01_HUMAN	sp|P00546|CDK1_YEAST	35.667	300	187	4.05e-58
sp|P28482|MK01_HUMAN	sp|P17157|PHO85_YEAST	33.010	309	180	2.25e-55
sp|P28482|MK01_HUMAN	sp|P06242|KIN28_YEAST	34.539	304	172	2.12e-52
sp|P28482|MK01_HUMAN	sp|P38615|RIM11_YEAST	33.106	293	166	2.61e-49
sp|P28482|MK01_HUMAN	sp|Q03957|CTK1_YEAST	31.068	309	157	1.29e-44
sp|P28482|MK01_HUMAN	sp|P50873|MRK1_YEAST	29.518	332	154	8.01e-44
sp|P28482|MK01_HUMAN	sp|P21965|MCK1_YEAST	32.450	302	138	7.78e-39
sp|P28482|MK01_HUMAN	sp|P39073|SSN3_YEAST	27.666	347	132	1.68e-35
sp|P28482|MK01_HUMAN	sp|P19454|CSK22_YEAST	28.660	321	119	3.77e-32
sp|P28482|MK01_HUMAN	sp|P15790|CSK21_YEAST	26.860	242	110	2.18e-28
sp|P28482|MK01_HUMAN	sp|P14680|YAK1_YEAST	27.479	353	105	8.02e-26
sp|P28482|MK01_HUMAN	sp|Q03497|STE20_YEAST	30.603	232	105	9.24e-26
sp|P28482|MK01_HUMAN	sp|P11792|SCH9_YEAST	28.846	208	96.7	5.77e-23
sp|P28482|MK01_HUMAN	sp|P06782|SNF1_YEAST	30.435	207	94.4	2.49e-22
sp|P28482|MK01_HUMAN	sp|Q12263|GIN4_YEAST	29.200	250	91.3	3.76e-21
sp|P28482|MK01_HUMAN	sp|P32562|CDC5_YEAST	26.444	329	90.9	3.78e-21
sp|P28482|MK01_HUMAN	sp|P34244|HSL1_YEAST	26.909	275	90.9	5.66e-21
sp|P28482|MK01_HUMAN	sp|Q12469|SKM1_YEAST	27.692	260	89.4	1.21e-20
sp|P28482|MK01_HUMAN	sp|Q03306|PKH3_YEAST	25.796	314	87.4	6.32e-20
sp|P28482|MK01_HUMAN	sp|P18961|YPK2_YEAST	26.239	343	87.0	6.93e-20
sp|P28482|MK01_HUMAN	sp|P05986|KAPC_YEAST	30.667	225	86.3	6.94e-20
sp|P28482|MK01_HUMAN	sp|Q12236|PKH2_YEAST	29.412	221	87.0	9.89e-20
sp|P28482|MK01_HUMAN	sp|P48562|CLA4_YEAST	28.846	208	86.3	1.66e-19
sp|P28482|MK01_HUMAN	sp|P25389|KCC4_YEAST	26.911	327	86.3	1.91e-19
sp|P28482|MK01_HUMAN	sp|P38692|KIC1_YEAST	28.037	214	85.5	2.94e-19
sp|P28482|MK01_HUMAN	sp|P12688|YPK1_YEAST	26.182	275	84.0	6.93e-19
sp|P28482|MK01_HUMAN	sp|P06244|KAPA_YEAST	33.974	156	82.8	1.14e-18
sp|P28482|MK01_HUMAN	sp|P06245|KAPB_YEAST	28.372	215	80.5	5.09e-18
sp|P28482|MK01_HUMAN	sp|P38070|YPK3_YEAST	30.055	183	79.7	1.89e-17
sp|P28482|MK01_HUMAN	sp|P38991|AURK_YEAST	25.806	217	78.2	3.16e-17
sp|P28482|MK01_HUMAN	sp|Q03407|PKH1_YEAST	27.049	244	77.4	1.31e-16
sp|P28482|MK01_HUMAN	sp|P32350|KNS1_YEAST	24.000	275	77.0	1.65e-16
sp|P28482|MK01_HUMAN	sp|P08458|SPS1_YEAST	27.885	208	75.9	2.77e-16
sp|P28482|MK01_HUMAN	sp|P15442|GCN2_YEAST	33.553	152	75.1	8.86e-16
sp|P28482|MK01_HUMAN	sp|P24583|KPC1_YEAST	34.848	132	68.6	1.07e-13
sp|P28482|MK01_HUMAN	sp|P53739|FPK1_YEAST	23.385	325	67.8	1.54e-13
sp|P28482|MK01_HUMAN	sp|P32361|IRE1_YEAST	24.752	303	67.4	2.57e-13
sp|P28482|MK01_HUMAN	sp|P25341|KIN82_YEAST	23.313	326	66.2	4.59e-13
sp|P28482|MK01_HUMAN	sp|P22219|VPS15_YEAST	30.464	151	60.5	4.17e-11
sp|P28482|MK01_HUMAN	sp|P22204|DBF2_YEAST	22.846	267	59.7	5.14e-11
sp|P28482|MK01_HUMAN	sp|P32328|DBF20_YEAST	21.829	339	57.4	3.36e-10
sp|P28482|MK01_HUMAN	sp|P08018|PBS2_YEAST	24.893	233	56.6	6.88e-10
sp|P28482|MK01_HUMAN	sp|Q03656|SKY1_YEAST	25.556	180	48.5	2.39e-07
sp|P28482|MK01_HUMAN	sp|P53894|CBK1_YEAST	20.497	161	47.4	6.18e-07
sp|Q92993|KAT5_HUMAN	sp|Q08649|ESA1_YEAST	54.140	314	332	2.19e-110
sp|Q92993|KAT5_HUMAN	sp|Q08649|ESA1_YEAST	35.577	104	58.9	1.97e-10
sp|Q92993|KAT5_HUMAN	sp|P34218|SAS3_YEAST	46.931	277	263	4.40e-80
sp|P22694|KAPCB_HUMAN	sp|P06245|KAPB_YEAST	53.185	314	358	4.72e-124
sp|P22694|KAPCB_HUMAN	sp|P06244|KAPA_YEAST	49.390	328	355	9.90e-123
sp|P22694|KAPCB_HUMAN	sp|P05986|KAPC_YEAST	50.489	307	342	1.25e-117
sp|P22694|KAPCB_HUMAN	sp|P12688|YPK1_YEAST	42.331	326	278	3.16e-89
sp|P22694|KAPCB_HUMAN	sp|P11792|SCH9_YEAST	45.192	312	277	1.46e-87
sp|P22694|KAPCB_HUMAN	sp|P18961|YPK2_YEAST	43.000	300	269	7.75e-86
sp|P22694|KAPCB_HUMAN	sp|P25341|KIN82_YEAST	37.015	335	223	2.80e-68
sp|P22694|KAPCB_HUMAN	sp|P53739|FPK1_YEAST	38.782	312	222	7.34e-67
sp|P22694|KAPCB_HUMAN	sp|P24583|KPC1_YEAST	34.459	296	201	5.30e-59
sp|P22694|KAPCB_HUMAN	sp|P38070|YPK3_YEAST	35.439	285	194	6.74e-59
sp|P22694|KAPCB_HUMAN	sp|Q12236|PKH2_YEAST	33.447	293	178	5.12e-51
sp|P22694|KAPCB_HUMAN	sp|P38991|AURK_YEAST	35.955	267	169	1.40e-50
sp|P22694|KAPCB_HUMAN	sp|P22204|DBF2_YEAST	30.612	343	165	2.06e-47
sp|P22694|KAPCB_HUMAN	sp|P32328|DBF20_YEAST	30.259	347	162	2.67e-46
sp|P22694|KAPCB_HUMAN	sp|Q03407|PKH1_YEAST	31.159	276	161	1.81e-45
sp|P22694|KAPCB_HUMAN	sp|P32562|CDC5_YEAST	32.667	300	159	9.43e-45
sp|P22694|KAPCB_HUMAN	sp|Q03306|PKH3_YEAST	31.379	290	157	1.43e-43
sp|P22694|KAPCB_HUMAN	sp|P06782|SNF1_YEAST	31.698	265	141	1.81e-38
sp|P22694|KAPCB_HUMAN	sp|P34244|HSL1_YEAST	32.852	277	139	1.57e-37
sp|P22694|KAPCB_HUMAN	sp|Q12263|GIN4_YEAST	34.241	257	137	9.42e-37
sp|P22694|KAPCB_HUMAN	sp|P53894|CBK1_YEAST	42.568	148	133	1.66e-35
sp|P22694|KAPCB_HUMAN	sp|P53894|CBK1_YEAST	40.278	144	112	2.93e-28
sp|P22694|KAPCB_HUMAN	sp|Q12469|SKM1_YEAST	31.884	207	122	7.47e-32
sp|P22694|KAPCB_HUMAN	sp|P25389|KCC4_YEAST	31.599	269	122	1.34e-31
sp|P22694|KAPCB_HUMAN	sp|Q03497|STE20_YEAST	28.992	238	112	3.46e-28
sp|P22694|KAPCB_HUMAN	sp|P48562|CLA4_YEAST	26.778	239	109	2.13e-27
sp|P22694|KAPCB_HUMAN	sp|P38692|KIC1_YEAST	28.455	246	109	2.69e-27
sp|P22694|KAPCB_HUMAN	sp|P08458|SPS1_YEAST	26.740	273	108	3.08e-27
sp|P22694|KAPCB_HUMAN	sp|P08018|PBS2_YEAST	33.585	265	107	1.26e-26
sp|P22694|KAPCB_HUMAN	sp|Q03957|CTK1_YEAST	29.947	187	87.4	3.95e-20
sp|P22694|KAPCB_HUMAN	sp|P41808|SMK1_YEAST	28.448	232	85.5	1.07e-19
sp|P22694|KAPCB_HUMAN	sp|P15442|GCN2_YEAST	29.798	198	81.6	4.85e-18
sp|P22694|KAPCB_HUMAN	sp|P16892|FUS3_YEAST	28.054	221	80.1	6.39e-18
sp|P22694|KAPCB_HUMAN	sp|P32485|HOG1_YEAST	30.846	201	80.5	6.87e-18
sp|P22694|KAPCB_HUMAN	sp|P38615|RIM11_YEAST	28.436	211	78.6	1.94e-17
sp|P22694|KAPCB_HUMAN	sp|Q00772|SLT2_YEAST	27.442	215	78.6	3.35e-17
sp|P22694|KAPCB_HUMAN	sp|P21965|MCK1_YEAST	30.814	172	75.9	1.55e-16
sp|P22694|KAPCB_HUMAN	sp|P50873|MRK1_YEAST	29.046	241	76.3	1.77e-16
sp|P22694|KAPCB_HUMAN	sp|P00546|CDK1_YEAST	28.947	228	73.6	5.97e-16
sp|P22694|KAPCB_HUMAN	sp|P14681|KSS1_YEAST	27.907	215	73.2	1.26e-15
sp|P22694|KAPCB_HUMAN	sp|P14680|YAK1_YEAST	28.000	200	73.9	1.72e-15
sp|P22694|KAPCB_HUMAN	sp|P17157|PHO85_YEAST	26.540	211	71.6	2.56e-15
sp|P22694|KAPCB_HUMAN	sp|P06242|KIN28_YEAST	26.633	199	70.1	1.09e-14
sp|P22694|KAPCB_HUMAN	sp|P32350|KNS1_YEAST	26.891	238	67.0	2.67e-13
sp|P22694|KAPCB_HUMAN	sp|P36005|KDX1_YEAST	28.571	119	60.1	3.11e-11
sp|P22694|KAPCB_HUMAN	sp|P15790|CSK21_YEAST	22.549	204	58.2	1.22e-10
sp|P22694|KAPCB_HUMAN	sp|P39073|SSN3_YEAST	26.347	167	58.2	1.51e-10
sp|P22694|KAPCB_HUMAN	sp|P19454|CSK22_YEAST	20.761	289	56.6	3.20e-10
sp|P22694|KAPCB_HUMAN	sp|P23291|KC11_YEAST	32.787	122	54.3	2.72e-09
sp|P22694|KAPCB_HUMAN	sp|P22219|VPS15_YEAST	25.483	259	53.1	8.03e-09
sp|P22694|KAPCB_HUMAN	sp|P23292|KC12_YEAST	31.061	132	52.8	8.59e-09
sp|P22694|KAPCB_HUMAN	sp|P29295|HRR25_YEAST	25.000	240	45.4	1.84e-06
sp|P78368|KC1G2_HUMAN	sp|P23292|KC12_YEAST	57.093	289	350	8.37e-118
sp|P78368|KC1G2_HUMAN	sp|P23291|KC11_YEAST	57.093	289	348	7.28e-117
sp|P78368|KC1G2_HUMAN	sp|P29295|HRR25_YEAST	53.952	291	329	3.50e-110
sp|P78368|KC1G2_HUMAN	sp|P39962|KC13_YEAST	49.074	324	308	1.34e-101
sp|P78368|KC1G2_HUMAN	sp|Q03306|PKH3_YEAST	27.037	270	62.8	9.80e-12
sp|P78368|KC1G2_HUMAN	sp|P06245|KAPB_YEAST	25.316	237	60.8	2.38e-11
sp|P78368|KC1G2_HUMAN	sp|P06244|KAPA_YEAST	25.106	235	57.0	4.17e-10
sp|P78368|KC1G2_HUMAN	sp|P38070|YPK3_YEAST	29.771	131	55.8	1.49e-09
sp|P78368|KC1G2_HUMAN	sp|P38991|AURK_YEAST	31.034	116	55.1	1.83e-09
sp|P78368|KC1G2_HUMAN	sp|P19454|CSK22_YEAST	27.922	154	54.7	2.33e-09
sp|P78368|KC1G2_HUMAN	sp|Q03407|PKH1_YEAST	21.610	236	52.8	1.48e-08
sp|P78368|KC1G2_HUMAN	sp|P05986|KAPC_YEAST	23.488	281	52.0	1.97e-08
sp|P78368|KC1G2_HUMAN	sp|Q03497|STE20_YEAST	23.944	213	51.6	3.25e-08
sp|P78368|KC1G2_HUMAN	sp|Q12236|PKH2_YEAST	23.214	280	51.2	5.26e-08
sp|P78368|KC1G2_HUMAN	sp|P11792|SCH9_YEAST	27.407	135	50.4	8.09e-08
sp|P78368|KC1G2_HUMAN	sp|P06782|SNF1_YEAST	25.949	158	49.7	1.34e-07
sp|P78368|KC1G2_HUMAN	sp|P48562|CLA4_YEAST	25.161	155	47.4	8.13e-07
sp|P78368|KC1G2_HUMAN	sp|Q12469|SKM1_YEAST	26.786	112	46.2	1.79e-06
sp|P78368|KC1G2_HUMAN	sp|P17157|PHO85_YEAST	25.466	161	45.4	1.81e-06
sp|P78368|KC1G2_HUMAN	sp|P32485|HOG1_YEAST	27.273	165	45.4	2.12e-06
sp|P78368|KC1G2_HUMAN	sp|P53894|CBK1_YEAST	29.870	154	45.8	2.44e-06
sp|P78368|KC1G2_HUMAN	sp|P38692|KIC1_YEAST	22.271	229	45.1	4.39e-06
sp|P78368|KC1G2_HUMAN	sp|P25341|KIN82_YEAST	27.068	133	44.3	6.65e-06
sp|Q92611|EDEM1_HUMAN	sp|P38888|MNL1_YEAST	40.606	495	352	1.84e-112
sp|Q92611|EDEM1_HUMAN	sp|P32906|MNS1_YEAST	28.143	533	143	1.78e-37
sp|P36957|ODO2_HUMAN	sp|P19262|ODO2_YEAST	45.794	428	353	2.81e-119
sp|P36957|ODO2_HUMAN	sp|P12695|ODP2_YEAST	32.922	243	112	2.89e-28
sp|P36957|ODO2_HUMAN	sp|P12695|ODP2_YEAST	37.288	59	45.4	2.86e-06
sp|Q14669|TRIPC_HUMAN	sp|P33202|UFD4_YEAST	35.000	540	303	2.13e-84
sp|Q14669|TRIPC_HUMAN	sp|P33202|UFD4_YEAST	26.054	261	95.1	2.03e-20
sp|Q14669|TRIPC_HUMAN	sp|Q03280|TOM1_YEAST	26.850	473	121	2.73e-28
sp|Q14669|TRIPC_HUMAN	sp|P39940|RSP5_YEAST	28.425	292	108	6.42e-25
sp|Q14669|TRIPC_HUMAN	sp|P53119|HUL5_YEAST	25.523	478	102	1.08e-22
sp|Q14669|TRIPC_HUMAN	sp|P40985|HUL4_YEAST	27.536	276	98.2	1.72e-21
sp|Q14669|TRIPC_HUMAN	sp|Q02821|IMA1_YEAST	23.368	291	52.4	1.47e-07
sp|Q13164|MK07_HUMAN	sp|Q00772|SLT2_YEAST	48.324	358	352	2.98e-114
sp|Q13164|MK07_HUMAN	sp|P14681|KSS1_YEAST	51.368	329	338	2.96e-110
sp|Q13164|MK07_HUMAN	sp|P16892|FUS3_YEAST	48.857	350	332	2.68e-108
sp|Q13164|MK07_HUMAN	sp|P32485|HOG1_YEAST	45.634	355	318	8.66e-102
sp|Q13164|MK07_HUMAN	sp|P36005|KDX1_YEAST	39.503	362	278	1.89e-86
sp|Q13164|MK07_HUMAN	sp|P41808|SMK1_YEAST	40.688	349	275	4.47e-86
sp|Q13164|MK07_HUMAN	sp|P17157|PHO85_YEAST	35.275	309	184	1.92e-53
sp|Q13164|MK07_HUMAN	sp|P00546|CDK1_YEAST	35.082	305	179	1.01e-51
sp|Q13164|MK07_HUMAN	sp|P38615|RIM11_YEAST	33.898	295	171	3.74e-48
sp|Q13164|MK07_HUMAN	sp|P06242|KIN28_YEAST	32.886	298	160	6.12e-45
sp|Q13164|MK07_HUMAN	sp|P39073|SSN3_YEAST	33.660	306	150	2.15e-39
sp|Q13164|MK07_HUMAN	sp|Q03957|CTK1_YEAST	28.571	308	148	6.57e-39
sp|Q13164|MK07_HUMAN	sp|P21965|MCK1_YEAST	30.833	360	137	3.77e-36
sp|Q13164|MK07_HUMAN	sp|P50873|MRK1_YEAST	29.781	319	137	1.62e-35
sp|Q13164|MK07_HUMAN	sp|P19454|CSK22_YEAST	27.812	320	112	2.84e-28
sp|Q13164|MK07_HUMAN	sp|P14680|YAK1_YEAST	25.989	354	112	1.18e-26
sp|Q13164|MK07_HUMAN	sp|P06782|SNF1_YEAST	29.302	215	107	3.42e-25
sp|Q13164|MK07_HUMAN	sp|P15790|CSK21_YEAST	26.923	260	100	9.47e-24
sp|Q13164|MK07_HUMAN	sp|P05986|KAPC_YEAST	26.394	269	93.2	2.83e-21
sp|Q13164|MK07_HUMAN	sp|Q12263|GIN4_YEAST	27.157	313	94.7	5.00e-21
sp|Q13164|MK07_HUMAN	sp|P06244|KAPA_YEAST	27.234	235	91.7	9.09e-21
sp|Q13164|MK07_HUMAN	sp|P48562|CLA4_YEAST	27.737	274	93.2	1.39e-20
sp|Q13164|MK07_HUMAN	sp|P25389|KCC4_YEAST	27.244	312	92.4	2.70e-20
sp|Q13164|MK07_HUMAN	sp|P32562|CDC5_YEAST	29.808	208	91.7	3.22e-20
sp|Q13164|MK07_HUMAN	sp|Q03407|PKH1_YEAST	26.860	242	91.7	3.40e-20
sp|Q13164|MK07_HUMAN	sp|P06245|KAPB_YEAST	27.778	216	89.0	4.85e-20
sp|Q13164|MK07_HUMAN	sp|Q03497|STE20_YEAST	29.064	203	87.8	6.42e-19
sp|Q13164|MK07_HUMAN	sp|P12688|YPK1_YEAST	26.513	347	87.0	9.40e-19
sp|Q13164|MK07_HUMAN	sp|Q03306|PKH3_YEAST	24.116	311	85.5	3.38e-18
sp|Q13164|MK07_HUMAN	sp|P11792|SCH9_YEAST	23.938	259	84.3	7.58e-18
sp|Q13164|MK07_HUMAN	sp|P38692|KIC1_YEAST	23.920	301	84.0	1.16e-17
