Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (GO)	Gene Ontology IDs
P21827	reviewed	RCC1_YEAST	Guanine nucleotide exchange factor SRM1 (Pheromone response pathway component SRM1) (Pre-mRNA-processing protein 20) (Regulator of chromosome condensation) (Suppressor of receptor mutations 1) (mRNA transport protein 1)	SRM1 MTR1 PRP20 YGL097W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	482	chromatin [GO:0000785]; cytoplasm [GO:0005737]; nucleus [GO:0005634]; guanyl-nucleotide exchange factor activity [GO:0005085]; cell division [GO:0051301]; nucleus organization [GO:0006997]; poly(A)+ mRNA export from nucleus [GO:0016973]; protein import into nucleus [GO:0006606]; regulation of mitotic cell cycle [GO:0007346]; regulation of mitotic spindle assembly [GO:1901673]; response to pheromone [GO:0019236]; ribosomal subunit export from nucleus [GO:0000054]	GO:0000054; GO:0000785; GO:0005085; GO:0005634; GO:0005737; GO:0006606; GO:0006997; GO:0007346; GO:0016973; GO:0019236; GO:0051301; GO:1901673
P21951	reviewed	DPOE_YEAST	DNA polymerase epsilon catalytic subunit A (EC 2.7.7.7) (3'-5' exodeoxyribonuclease) (EC 3.1.11.-) (DNA polymerase II subunit A)	POL2 DUN2 YNL262W N0825	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	2222	epsilon DNA polymerase complex [GO:0008622]; nuclear replication fork [GO:0043596]; nucleus [GO:0005634]; replication fork [GO:0005657]; 4 iron, 4 sulfur cluster binding [GO:0051539]; DNA binding [GO:0003677]; DNA-directed DNA polymerase activity [GO:0003887]; double-stranded DNA binding [GO:0003690]; mRNA binding [GO:0003729]; nucleotide binding [GO:0000166]; single-stranded DNA 3'-5' DNA exonuclease activity [GO:0008310]; single-stranded DNA binding [GO:0003697]; SUMO binding [GO:0032183]; zinc ion binding [GO:0008270]; base-excision repair [GO:0006284]; base-excision repair, gap-filling [GO:0006287]; DNA replication proofreading [GO:0045004]; DNA-templated DNA replication [GO:0006261]; double-strand break repair [GO:0006302]; double-strand break repair via nonhomologous end joining [GO:0006303]; error-prone translesion synthesis [GO:0042276]; gene conversion [GO:0035822]; leading strand elongation [GO:0006272]; mitotic cell cycle [GO:0000278]; mitotic DNA replication checkpoint signaling [GO:0033314]; mitotic intra-S DNA damage checkpoint signaling [GO:0031573]; mitotic sister chromatid cohesion [GO:0007064]; nucleotide-excision repair, DNA gap filling [GO:0006297]	GO:0000166; GO:0000278; GO:0003677; GO:0003690; GO:0003697; GO:0003729; GO:0003887; GO:0005634; GO:0005657; GO:0006261; GO:0006272; GO:0006284; GO:0006287; GO:0006297; GO:0006302; GO:0006303; GO:0007064; GO:0008270; GO:0008310; GO:0008622; GO:0031573; GO:0032183; GO:0033314; GO:0035822; GO:0042276; GO:0043596; GO:0045004; GO:0051539
P21954	reviewed	IDHP_YEAST	Isocitrate dehydrogenase [NADP], mitochondrial (IDH) (EC 1.1.1.42) (IDP) (NADP(+)-specific ICDH) (Oxalosuccinate decarboxylase)	IDP1 YDL066W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	428	mitochondrial nucleoid [GO:0042645]; mitochondrion [GO:0005739]; isocitrate dehydrogenase (NADP+) activity [GO:0004450]; magnesium ion binding [GO:0000287]; NAD binding [GO:0051287]; glutamate biosynthetic process [GO:0006537]; glyoxylate cycle [GO:0006097]; isocitrate metabolic process [GO:0006102]; NADP metabolic process [GO:0006739]; tricarboxylic acid cycle [GO:0006099]	GO:0000287; GO:0004450; GO:0005739; GO:0006097; GO:0006099; GO:0006102; GO:0006537; GO:0006739; GO:0042645; GO:0051287
P21957	reviewed	OPI1_YEAST	Transcriptional repressor OPI1 (Negative regulator of phospholipid biosynthesis) (Overproducer of inositol protein 1)	OPI1 YHL020C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	404	endoplasmic reticulum [GO:0005783]; nuclear envelope [GO:0005635]; nuclear membrane [GO:0031965]; nuclear periphery [GO:0034399]; nucleoplasm [GO:0005654]; nucleus [GO:0005634]; DNA binding [GO:0003677]; phosphatidic acid binding [GO:0070300]; transcription corepressor activity [GO:0003714]; cellular response to phosphate starvation [GO:0016036]; endoplasmic reticulum unfolded protein response [GO:0030968]; negative regulation of phospholipid biosynthetic process [GO:0071072]; negative regulation of transcription by RNA polymerase II [GO:0000122]; phospholipid biosynthetic process [GO:0008654]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]	GO:0000122; GO:0003677; GO:0003714; GO:0005634; GO:0005635; GO:0005654; GO:0005783; GO:0006357; GO:0008654; GO:0016036; GO:0030968; GO:0031965; GO:0034399; GO:0045944; GO:0070300; GO:0071072
P21965	reviewed	MCK1_YEAST	Protein kinase MCK1 (EC 2.7.12.1) (Meiosis and centromere regulatory kinase)	MCK1 YPK1 YNL307C N0392	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	375	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; cyclin binding [GO:0030332]; enzyme inhibitor activity [GO:0004857]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; protein serine/threonine/tyrosine kinase activity [GO:0004712]; protein tyrosine kinase activity [GO:0004713]; ascospore formation [GO:0030437]; cell differentiation [GO:0030154]; double-strand break repair via nonhomologous end joining [GO:0006303]; meiotic cell cycle [GO:0051321]; mitotic sister chromatid segregation [GO:0000070]; mitotic spindle orientation checkpoint signaling [GO:0031578]; protein catabolic process [GO:0030163]; signal transduction [GO:0007165]	GO:0000070; GO:0004672; GO:0004674; GO:0004712; GO:0004713; GO:0004857; GO:0005524; GO:0005634; GO:0005737; GO:0006303; GO:0007165; GO:0030154; GO:0030163; GO:0030332; GO:0030437; GO:0031578; GO:0051321; GO:0106310
P22007	reviewed	FNTB_YEAST	Protein farnesyltransferase subunit beta (FTase-beta) (PFTase beta) (EC 2.5.1.58) (CAAX farnesyltransferase subunit beta) (Ras proteins prenyltransferase subunit beta)	RAM1 DPR1 SCG2 STE16 YDL090C D2412	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	431	protein farnesyltransferase complex [GO:0005965]; protein farnesyltransferase activity [GO:0004660]; zinc ion binding [GO:0008270]; protein farnesylation [GO:0018343]	GO:0004660; GO:0005965; GO:0008270; GO:0018343
P22082	reviewed	SNF2_YEAST	Transcription regulatory protein SNF2 (EC 3.6.4.-) (ATP-dependent helicase SNF2) (Regulatory protein GAM1) (Regulatory protein SWI2) (SWI/SNF complex component SNF2) (Transcription factor TYE3)	SNF2 GAM1 RIC1 SWI2 TYE3 YOR290C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1703	chromatin [GO:0000785]; nucleus [GO:0005634]; SWI/SNF complex [GO:0016514]; ATP binding [GO:0005524]; ATP-dependent chromatin remodeler activity [GO:0140658]; chromatin binding [GO:0003682]; DNA binding [GO:0003677]; helicase activity [GO:0004386]; histone H4 reader activity [GO:0140008]; histone reader activity [GO:0140566]; hydrolase activity [GO:0016787]; lysine-acetylated histone binding [GO:0070577]; nucleosomal DNA binding [GO:0031492]; nucleosome array spacer activity [GO:0140750]; rDNA binding [GO:0000182]; RNA polymerase II-specific DNA-binding transcription factor binding [GO:0061629]; aggrephagy [GO:0035973]; cellular response to amino acid starvation [GO:0034198]; chromatin remodeling [GO:0006338]; DNA strand invasion [GO:0042148]; DNA-templated DNA replication [GO:0006261]; double-strand break repair [GO:0006302]; positive regulation of cell adhesion involved in single-species biofilm formation [GO:1900189]; positive regulation of invasive growth in response to glucose limitation [GO:2000219]; positive regulation of mating type switching [GO:0031496]; positive regulation of transcription by RNA polymerase II [GO:0045944]; regulation of transcription by RNA polymerase II [GO:0006357]; transcription initiation-coupled chromatin remodeling [GO:0045815]	GO:0000182; GO:0000785; GO:0003677; GO:0003682; GO:0004386; GO:0005524; GO:0005634; GO:0006261; GO:0006302; GO:0006338; GO:0006357; GO:0016514; GO:0016787; GO:0031492; GO:0031496; GO:0034198; GO:0035973; GO:0042148; GO:0045815; GO:0045944; GO:0061629; GO:0070577; GO:0140008; GO:0140566; GO:0140658; GO:0140750; GO:1900189; GO:2000219
P22108	reviewed	APA2_YEAST	Diadenosine 5',5'''-P1,P4-tetraphosphate phosphorylase 2 (Ap4A phosphorylase 2) (EC 2.7.7.53) (ADP-sulfurylase) (EC 2.7.7.5) (ATP adenylyltransferase)	APA2 YDR530C D9719.33	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	325	cytoplasm [GO:0005737]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATP:ADP adenylyltransferase activity [GO:0003877]; bis(5'-nucleosyl)-tetraphosphatase activity [GO:0008796]; sulfate adenylyltransferase (ADP) activity [GO:0004780]; nucleoside catabolic process [GO:0009164]; nucleotide biosynthetic process [GO:0009165]	GO:0003877; GO:0004780; GO:0005524; GO:0005634; GO:0005737; GO:0008796; GO:0009164; GO:0009165
P22133	reviewed	MDHC_YEAST	Malate dehydrogenase, cytoplasmic (EC 1.1.1.37)	MDH2 YOL126C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	377	cytoplasm [GO:0005737]; cytosol [GO:0005829]; nuclear periphery [GO:0034399]; L-malate dehydrogenase (NAD+) activity [GO:0030060]; gluconeogenesis [GO:0006094]; malate metabolic process [GO:0006108]; protein import into peroxisome matrix [GO:0016558]; tricarboxylic acid cycle [GO:0006099]	GO:0005737; GO:0005829; GO:0006094; GO:0006099; GO:0006108; GO:0016558; GO:0030060; GO:0034399
P22134	reviewed	MAG_YEAST	DNA-3-methyladenine glycosylase (EC 3.2.2.21) (3-methyladenine DNA glycosidase) (3MEA DNA glycosylase)	MAG1 MAG YER142C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	296	nucleus [GO:0005634]; protein-DNA complex [GO:0032993]; alkylated DNA binding [GO:0032131]; alkylbase DNA N-glycosylase activity [GO:0003905]; damaged DNA binding [GO:0003684]; DNA-3-methyladenine glycosylase activity [GO:0008725]; DNA-3-methylguanine glycosylase activity [GO:0052822]; DNA-5-methylcytosine glycosylase activity [GO:1990053]; DNA-7-methyladenine glycosylase activity [GO:0052821]; DNA-7-methylguanine glycosylase activity [GO:0043916]; base-excision repair, AP site formation [GO:0006285]; DNA alkylation repair [GO:0006307]	GO:0003684; GO:0003905; GO:0005634; GO:0006285; GO:0006307; GO:0008725; GO:0032131; GO:0032993; GO:0043916; GO:0052821; GO:0052822; GO:1990053
P22137	reviewed	CLH_YEAST	Clathrin heavy chain	CHC1 YGL206C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1653	actin cortical patch [GO:0030479]; clathrin coat of coated pit [GO:0030132]; clathrin coat of trans-Golgi network vesicle [GO:0030130]; clathrin complex [GO:0071439]; clathrin vesicle coat [GO:0030125]; cytosol [GO:0005829]; clathrin light chain binding [GO:0032051]; structural molecule activity [GO:0005198]; clathrin coat assembly [GO:0048268]; cortical actin cytoskeleton organization [GO:0030866]; endocytosis [GO:0006897]; Golgi to endosome transport [GO:0006895]; intracellular protein transport [GO:0006886]; receptor-mediated endocytosis [GO:0006898]	GO:0005198; GO:0005829; GO:0006886; GO:0006895; GO:0006897; GO:0006898; GO:0030125; GO:0030130; GO:0030132; GO:0030479; GO:0030866; GO:0032051; GO:0048268; GO:0071439
P22138	reviewed	RPA2_YEAST	DNA-directed RNA polymerase I subunit RPA135 (EC 2.7.7.6) (DNA-directed RNA polymerase I 135 kDa polypeptide) (A135) (DNA-directed RNA polymerase I polypeptide 2) (RNA polymerase I subunit 2)	RPA135 RPA2 RRN2 SRP3 YPR010C YP9531.03C	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1203	mitochondrion [GO:0005739]; nucleus [GO:0005634]; RNA polymerase I complex [GO:0005736]; DNA binding [GO:0003677]; mitochondrial single subunit type RNA polymerase activity [GO:0001065]; plastid single subunit type RNA polymerase activity [GO:0001066]; ribonucleoside binding [GO:0032549]; RNA polymerase I activity [GO:0001054]; RNA polymerase II activity [GO:0001055]; RNA polymerase III activity [GO:0001056]; RNA polymerase IV activity [GO:0001057]; RNA polymerase V activity [GO:0001058]; zinc ion binding [GO:0008270]; nucleolar large rRNA transcription by RNA polymerase I [GO:0042790]; ribosome biogenesis [GO:0042254]; termination of RNA polymerase I transcription [GO:0006363]; transcription by RNA polymerase I [GO:0006360]; transcription elongation by RNA polymerase I [GO:0006362]; transcription initiation at RNA polymerase I promoter [GO:0006361]	GO:0001054; GO:0001055; GO:0001056; GO:0001057; GO:0001058; GO:0001065; GO:0001066; GO:0003677; GO:0005634; GO:0005736; GO:0005739; GO:0006360; GO:0006361; GO:0006362; GO:0006363; GO:0008270; GO:0032549; GO:0042254; GO:0042790
P22139	reviewed	RPAB5_YEAST	DNA-directed RNA polymerases I, II, and III subunit RPABC5 (RNA polymerases I, II, and III subunit ABC5) (ABC10-beta) (ABC8) (DNA-directed RNA polymerases I, II, and III 8.3 kDa polypeptide)	RPB10 YOR210W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	70	nucleoplasm [GO:0005654]; nucleus [GO:0005634]; RNA polymerase I complex [GO:0005736]; RNA polymerase II, core complex [GO:0005665]; RNA polymerase III complex [GO:0005666]; DNA binding [GO:0003677]; RNA polymerase I activity [GO:0001054]; zinc ion binding [GO:0008270]; nucleolar large rRNA transcription by RNA polymerase I [GO:0042790]; ribosome biogenesis [GO:0042254]; RNA-templated transcription [GO:0001172]; termination of RNA polymerase I transcription [GO:0006363]; termination of RNA polymerase III transcription [GO:0006386]; transcription by RNA polymerase I [GO:0006360]; transcription by RNA polymerase II [GO:0006366]; transcription by RNA polymerase III [GO:0006383]; transcription elongation by RNA polymerase I [GO:0006362]; transcription elongation by RNA polymerase II [GO:0006368]; transcription initiation at RNA polymerase I promoter [GO:0006361]; transcription initiation at RNA polymerase II promoter [GO:0006367]; transcription initiation at RNA polymerase III promoter [GO:0006384]; tRNA transcription by RNA polymerase III [GO:0042797]	GO:0001054; GO:0001172; GO:0003677; GO:0005634; GO:0005654; GO:0005665; GO:0005666; GO:0005736; GO:0006360; GO:0006361; GO:0006362; GO:0006363; GO:0006366; GO:0006367; GO:0006368; GO:0006383; GO:0006384; GO:0006386; GO:0008270; GO:0042254; GO:0042790; GO:0042797
P22140	reviewed	EPT1_YEAST	Choline/ethanolaminephosphotransferase 1 (ETHPT) (Ethanolaminephosphotransferase 1) (EC 2.7.8.1) (EC 2.7.8.2) (Aminoalcohol phosphotransferase EPT1)	EPT1 YHR123W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	391	endoplasmic reticulum [GO:0005783]; Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; diacylglycerol cholinephosphotransferase activity [GO:0004142]; ethanolaminephosphotransferase activity [GO:0004307]; phosphatidylcholine biosynthetic process [GO:0006656]; phosphatidylethanolamine biosynthetic process [GO:0006646]	GO:0000139; GO:0004142; GO:0004307; GO:0005783; GO:0005794; GO:0006646; GO:0006656
P22141	reviewed	PSB4_YEAST	Proteasome subunit beta type-4 (Macropain subunit C11) (Multicatalytic endopeptidase complex subunit C11) (Proteasome component C11) (Proteinase YSCE subunit 11)	PRE1 YER012W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	198	cytosol [GO:0005829]; endoplasmic reticulum membrane [GO:0005789]; nucleus [GO:0005634]; proteasome complex [GO:0000502]; proteasome core complex, beta-subunit complex [GO:0019774]; endopeptidase activator activity [GO:0061133]; proteasomal ubiquitin-independent protein catabolic process [GO:0010499]; proteasome-mediated ubiquitin-dependent protein catabolic process [GO:0043161]	GO:0000502; GO:0005634; GO:0005789; GO:0005829; GO:0010499; GO:0019774; GO:0043161; GO:0061133
P22146	reviewed	GAS1_YEAST	1,3-beta-glucanosyltransferase GAS1 (EC 2.4.1.-) (Glycolipid-anchored surface protein 1) (Glycoprotein GP115)	GAS1 GGP1 YMR307W YM9952.09	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	559	cellular bud scar [GO:0005621]; COPII-coated ER to Golgi transport vesicle [GO:0030134]; extracellular region [GO:0005576]; fungal-type cell wall [GO:0009277]; membrane raft [GO:0045121]; mitochondrion [GO:0005739]; nuclear periphery [GO:0034399]; plasma membrane [GO:0005886]; primary cell septum [GO:0000936]; side of membrane [GO:0098552]; 1,3-beta-glucanosyltransferase activity [GO:0042124]; filamentous growth [GO:0030447]; fungal-type cell wall (1->3)-beta-D-glucan biosynthetic process [GO:0071970]; fungal-type cell wall organization [GO:0031505]; heterochromatin formation [GO:0031507]; regulation of response to endoplasmic reticulum stress [GO:1905897]	GO:0000936; GO:0005576; GO:0005621; GO:0005739; GO:0005886; GO:0009277; GO:0030134; GO:0030447; GO:0031505; GO:0031507; GO:0034399; GO:0042124; GO:0045121; GO:0071970; GO:0098552; GO:1905897
P22147	reviewed	XRN1_YEAST	5'-3' exoribonuclease 1 (EC 3.1.13.-) (DNA strand transfer protein beta) (STP-beta) (KAR(-)-enhancing mutation protein) (Strand exchange protein 1) (p175)	XRN1 DST2 KEM1 RAR5 SEP1 SKI1 YGL173C G1645	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	1528	cytoplasm [GO:0005737]; cytoplasmic stress granule [GO:0010494]; cytosol [GO:0005829]; eisosome membrane domain/MCC [GO:0090512]; microtubule [GO:0005874]; nucleus [GO:0005634]; P-body [GO:0000932]; perinuclear region of cytoplasm [GO:0048471]; 5'-3' RNA exonuclease activity [GO:0004534]; chromatin binding [GO:0003682]; eukaryotic initiation factor 4G binding [GO:0031370]; mRNA binding [GO:0003729]; RNA binding [GO:0003723]; cellular response to nitrogen starvation [GO:0006995]; karyogamy [GO:0000741]; mRNA destabilization [GO:0061157]; NAD-cap decapping [GO:0110155]; negative regulation of macroautophagy [GO:0016242]; nonfunctional rRNA decay [GO:0070651]; nuclear-transcribed mRNA catabolic process [GO:0000956]; nuclear-transcribed mRNA catabolic process, 5'-3' exonucleolytic nonsense-mediated decay [GO:0070479]; nuclear-transcribed mRNA catabolic process, no-go decay [GO:0070966]; nuclear-transcribed mRNA catabolic process, nonsense-mediated decay [GO:0000184]; positive regulation of transcription elongation by RNA polymerase II [GO:0032968]; positive regulation of transcription initiation by RNA polymerase II [GO:0060261]; regulation of telomere maintenance [GO:0032204]; rRNA catabolic process [GO:0016075]; rRNA processing [GO:0006364]; sno(s)RNA processing [GO:0043144]; translational initiation [GO:0006413]; traversing start control point of mitotic cell cycle [GO:0007089]; tRNA decay [GO:0016078]	GO:0000184; GO:0000741; GO:0000932; GO:0000956; GO:0003682; GO:0003723; GO:0003729; GO:0004534; GO:0005634; GO:0005737; GO:0005829; GO:0005874; GO:0006364; GO:0006413; GO:0006995; GO:0007089; GO:0010494; GO:0016075; GO:0016078; GO:0016242; GO:0031370; GO:0032204; GO:0032968; GO:0043144; GO:0048471; GO:0060261; GO:0061157; GO:0070479; GO:0070651; GO:0070966; GO:0090512; GO:0110155
P22148	reviewed	MSN1_YEAST	Protein MSN1 (Multicopy suppressor of SNF1 protein 1)	MSN1 FUP1 PHD2 YOL116W HRB382	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	382	cytoplasm [GO:0005737]; nucleus [GO:0005634]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; RNA polymerase II cis-regulatory region sequence-specific DNA binding [GO:0000978]; sequence-specific DNA binding [GO:0043565]; cellular hyperosmotic salinity response [GO:0071475]; cellular response to heat [GO:0034605]; cellular response to methylglyoxal [GO:0097238]; positive regulation of invasive growth in response to glucose limitation [GO:2000219]; positive regulation of pseudohyphal growth [GO:2000222]; positive regulation of ribosomal protein gene transcription by RNA polymerase II [GO:0060963]; positive regulation of starch catabolic process [GO:2000883]; positive regulation of transcription by RNA polymerase II [GO:0045944]	GO:0000978; GO:0000981; GO:0005634; GO:0005737; GO:0034605; GO:0043565; GO:0045944; GO:0060963; GO:0071475; GO:0097238; GO:2000219; GO:2000222; GO:2000883
P22149	reviewed	AFT1_YEAST	Iron-regulated transcriptional activator AFT1 (Activator of iron transcription protein 1)	AFT1 RCS1 YGL071W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	690	cytoplasm [GO:0005737]; nucleus [GO:0005634]; cis-regulatory region sequence-specific DNA binding [GO:0000987]; DNA-binding transcription factor activity, RNA polymerase II-specific [GO:0000981]; kinetochore binding [GO:0043515]; metal ion binding [GO:0046872]; cardiolipin metabolic process [GO:0032048]; cellular response to iron ion starvation [GO:0010106]; chromosome segregation [GO:0007059]; establishment of mitotic sister chromatid cohesion [GO:0034087]; meiotic chromosome segregation [GO:0045132]; negative regulation of transcription by RNA polymerase II [GO:0000122]; positive regulation of iron ion transport [GO:0034758]; positive regulation of transcription by RNA polymerase II [GO:0045944]	GO:0000122; GO:0000981; GO:0000987; GO:0005634; GO:0005737; GO:0007059; GO:0010106; GO:0032048; GO:0034087; GO:0034758; GO:0043515; GO:0045132; GO:0045944; GO:0046872
P22203	reviewed	VATE_YEAST	V-type proton ATPase subunit E (V-ATPase subunit E) (V-ATPase 27 kDa subunit) (Vacuolar proton pump subunit E)	VMA4 VAT5 YOR332W O6241	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	233	fungal-type vacuole membrane [GO:0000329]; Golgi membrane [GO:0000139]; membrane raft [GO:0045121]; proton-transporting V-type ATPase complex [GO:0033176]; vacuolar proton-transporting V-type ATPase complex [GO:0016471]; vacuolar proton-transporting V-type ATPase, V1 domain [GO:0000221]; proton-transporting ATPase activity, rotational mechanism [GO:0046961]; endosomal lumen acidification [GO:0048388]; Golgi lumen acidification [GO:0061795]; proton transmembrane transport [GO:1902600]; vacuolar acidification [GO:0007035]	GO:0000139; GO:0000221; GO:0000329; GO:0007035; GO:0016471; GO:0033176; GO:0045121; GO:0046961; GO:0048388; GO:0061795; GO:1902600
P22204	reviewed	DBF2_YEAST	Cell cycle protein kinase DBF2 (EC 2.7.11.1) (Dumbbell forming protein 2)	DBF2 YGR092W	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	572	cellular bud neck [GO:0005935]; nucleus [GO:0005634]; Sid2-Mob1 complex [GO:0034973]; spindle pole body [GO:0005816]; 3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; RNA binding [GO:0003723]; exit from mitosis [GO:0010458]; intracellular signal transduction [GO:0035556]; nuclear division [GO:0000280]; regulation of cytokinesis [GO:0032465]; regulation of protein localization to cell division site involved in cytokinesis [GO:1901901]; vacuolar acidification [GO:0007035]	GO:0000280; GO:0003723; GO:0004672; GO:0004674; GO:0004676; GO:0004677; GO:0004679; GO:0004694; GO:0004711; GO:0005524; GO:0005634; GO:0005816; GO:0005935; GO:0007035; GO:0010458; GO:0032465; GO:0034973; GO:0035175; GO:0035402; GO:0035403; GO:0035556; GO:0035979; GO:0044022; GO:0044023; GO:0044024; GO:0044025; GO:0072354; GO:0072371; GO:0072518; GO:0106310; GO:0140823; GO:0140855; GO:0140857; GO:1901901; GO:1990244
P22209	reviewed	KIN3_YEAST	Serine/threonine-protein kinase KIN3 (EC 2.7.11.1)	KIN3 NPK1 YAR018C FUN52	Saccharomyces cerevisiae (strain ATCC 204508 / S288c) (Baker's yeast)	435	cytoplasm [GO:0005737]; mitotic spindle pole body [GO:0044732]; nucleus [GO:0005634]; 3-phosphoinositide-dependent protein kinase activity [GO:0004676]; AMP-activated protein kinase activity [GO:0004679]; ATP binding [GO:0005524]; DNA-dependent protein kinase activity [GO:0004677]; eukaryotic translation initiation factor 2alpha kinase activity [GO:0004694]; histone H2AS1 kinase activity [GO:0044024]; histone H2AS121 kinase activity [GO:0072371]; histone H2AT120 kinase activity [GO:1990244]; histone H2AXS139 kinase activity [GO:0035979]; histone H2BS14 kinase activity [GO:0044025]; histone H2BS36 kinase activity [GO:0140823]; histone H3S10 kinase activity [GO:0035175]; histone H3S28 kinase activity [GO:0044022]; histone H3S57 kinase activity [GO:0140855]; histone H3T11 kinase activity [GO:0035402]; histone H3T3 kinase activity [GO:0072354]; histone H3T45 kinase activity [GO:0140857]; histone H3T6 kinase activity [GO:0035403]; histone H4S1 kinase activity [GO:0044023]; protein kinase activity [GO:0004672]; protein serine kinase activity [GO:0106310]; protein serine/threonine kinase activity [GO:0004674]; Rho-dependent protein serine/threonine kinase activity [GO:0072518]; ribosomal protein S6 kinase activity [GO:0004711]; chromosome segregation [GO:0007059]	GO:0004672; GO:0004674; GO:0004676; GO:0004677; GO:0004679; GO:0004694; GO:0004711; GO:0005524; GO:0005634; GO:0005737; GO:0007059; GO:0035175; GO:0035402; GO:0035403; GO:0035979; GO:0044022; GO:0044023; GO:0044024; GO:0044025; GO:0044732; GO:0072354; GO:0072371; GO:0072518; GO:0106310; GO:0140823; GO:0140855; GO:0140857; GO:1990244
